year,region,age_4,age_5,age_6,age_7,reg_code,gooddata
1982,Carmacks,0.040496796,0.132063099,0.599001299,0.228438806,1,1
1982,Lower Mainstem,0.040496796,0.132063099,0.599001299,0.228438806,2,1
1982,Middle Mainstem,0.040496796,0.132063099,0.599001299,0.228438806,3,1
1982,Pelly,0.040496796,0.132063099,0.599001299,0.228438806,4,1
1982,Stewart,0.040496796,0.132063099,0.599001299,0.228438806,5,1
1982,Teslin River,0.040496796,0.132063099,0.599001299,0.228438806,6,1
1982,Upper Lakes and Mainstem,0.040496796,0.132063099,0.599001299,0.228438806,7,1
1982,White-Donjek,0.040496796,0.132063099,0.599001299,0.228438806,8,1
1983,Carmacks,0.021240741,0.142583955,0.697608879,0.138566404,1,1
1983,Lower Mainstem,0.021240741,0.142583955,0.697608879,0.138566404,2,1
1983,Middle Mainstem,0.021240741,0.142583955,0.697608879,0.138566404,3,1
1983,Pelly,0.021240741,0.142583955,0.697608879,0.138566404,4,1
1983,Stewart,0.021240741,0.142583955,0.697608879,0.138566404,5,1
1983,Teslin River,0.021240741,0.142583955,0.697608879,0.138566404,6,1
1983,Upper Lakes and Mainstem,0.021240741,0.142583955,0.697608879,0.138566404,7,1
1983,White-Donjek,0.021240741,0.142583955,0.697608879,0.138566404,8,1
1984,Carmacks,0.05947678,0.192929552,0.569504206,0.178089463,1,0
1984,Lower Mainstem,0.05947678,0.192929552,0.569504206,0.178089463,2,0
1984,Middle Mainstem,0.05947678,0.192929552,0.569504206,0.178089463,3,0
1984,Pelly,0.05947678,0.192929552,0.569504206,0.178089463,4,0
1984,Stewart,0.05947678,0.192929552,0.569504206,0.178089463,5,0
1984,Teslin River,0.05947678,0.192929552,0.569504206,0.178089463,6,0
1984,Upper Lakes and Mainstem,0.05947678,0.192929552,0.569504206,0.178089463,7,0
1984,White-Donjek,0.05947678,0.192929552,0.569504206,0.178089463,8,0
1985,Carmacks,0.007718565,0.092944767,0.691405993,0.207930675,1,1
1985,Lower Mainstem,0.007718565,0.092944767,0.691405993,0.207930675,2,1
1985,Middle Mainstem,0.007718565,0.092944767,0.691405993,0.207930675,3,1
1985,Pelly,0.007718565,0.092944767,0.691405993,0.207930675,4,1
1985,Stewart,0.007718565,0.092944767,0.691405993,0.207930675,5,1
1985,Teslin River,0.007718565,0.092944767,0.691405993,0.207930675,6,1
1985,Upper Lakes and Mainstem,0.007718565,0.092944767,0.691405993,0.207930675,7,1
1985,White-Donjek,0.007718565,0.092944767,0.691405993,0.207930675,8,1
1986,Carmacks,0.035836256,0.208825619,0.4426358,0.312702326,1,1
1986,Lower Mainstem,0.035836256,0.208825619,0.4426358,0.312702326,2,1
1986,Middle Mainstem,0.035836256,0.208825619,0.4426358,0.312702326,3,1
1986,Pelly,0.035836256,0.208825619,0.4426358,0.312702326,4,1
1986,Stewart,0.035836256,0.208825619,0.4426358,0.312702326,5,1
1986,Teslin River,0.035836256,0.208825619,0.4426358,0.312702326,6,1
1986,Upper Lakes and Mainstem,0.035836256,0.208825619,0.4426358,0.312702326,7,1
1986,White-Donjek,0.035836256,0.208825619,0.4426358,0.312702326,8,1
1987,Carmacks,0.043803388,0.098596852,0.655722414,0.201877345,1,1
1987,Lower Mainstem,0.043803388,0.098596852,0.655722414,0.201877345,2,1
1987,Middle Mainstem,0.043803388,0.098596852,0.655722414,0.201877345,3,1
1987,Pelly,0.043803388,0.098596852,0.655722414,0.201877345,4,1
1987,Stewart,0.043803388,0.098596852,0.655722414,0.201877345,5,1
1987,Teslin River,0.043803388,0.098596852,0.655722414,0.201877345,6,1
1987,Upper Lakes and Mainstem,0.043803388,0.098596852,0.655722414,0.201877345,7,1
1987,White-Donjek,0.043803388,0.098596852,0.655722414,0.201877345,8,1
1988,Carmacks,0.093299638,0.241060376,0.260047335,0.40559265,1,0
1988,Lower Mainstem,0.093299638,0.241060376,0.260047335,0.40559265,2,0
1988,Middle Mainstem,0.093299638,0.241060376,0.260047335,0.40559265,3,0
1988,Pelly,0.093299638,0.241060376,0.260047335,0.40559265,4,0
1988,Stewart,0.093299638,0.241060376,0.260047335,0.40559265,5,0
1988,Teslin River,0.093299638,0.241060376,0.260047335,0.40559265,6,0
1988,Upper Lakes and Mainstem,0.093299638,0.241060376,0.260047335,0.40559265,7,0
1988,White-Donjek,0.093299638,0.241060376,0.260047335,0.40559265,8,0
1989,Carmacks,0.067379481,0.208969496,0.543706271,0.179944751,1,0
1989,Lower Mainstem,0.067379481,0.208969496,0.543706271,0.179944751,2,0
1989,Middle Mainstem,0.067379481,0.208969496,0.543706271,0.179944751,3,0
1989,Pelly,0.067379481,0.208969496,0.543706271,0.179944751,4,0
1989,Stewart,0.067379481,0.208969496,0.543706271,0.179944751,5,0
1989,Teslin River,0.067379481,0.208969496,0.543706271,0.179944751,6,0
1989,Upper Lakes and Mainstem,0.067379481,0.208969496,0.543706271,0.179944751,7,0
1989,White-Donjek,0.067379481,0.208969496,0.543706271,0.179944751,8,0
1990,Carmacks,0.134983217,0.257665587,0.49634229,0.111008906,1,0
1990,Lower Mainstem,0.134983217,0.257665587,0.49634229,0.111008906,2,0
1990,Middle Mainstem,0.134983217,0.257665587,0.49634229,0.111008906,3,0
1990,Pelly,0.134983217,0.257665587,0.49634229,0.111008906,4,0
1990,Stewart,0.134983217,0.257665587,0.49634229,0.111008906,5,0
1990,Teslin River,0.134983217,0.257665587,0.49634229,0.111008906,6,0
1990,Upper Lakes and Mainstem,0.134983217,0.257665587,0.49634229,0.111008906,7,0
1990,White-Donjek,0.134983217,0.257665587,0.49634229,0.111008906,8,0
1991,Carmacks,0.019041,0.369246908,0.499607184,0.112104908,1,1
1991,Lower Mainstem,0.019041,0.369246908,0.499607184,0.112104908,2,1
1991,Middle Mainstem,0.019041,0.369246908,0.499607184,0.112104908,3,1
1991,Pelly,0.019041,0.369246908,0.499607184,0.112104908,4,1
1991,Stewart,0.019041,0.369246908,0.499607184,0.112104908,5,1
1991,Teslin River,0.019041,0.369246908,0.499607184,0.112104908,6,1
1991,Upper Lakes and Mainstem,0.019041,0.369246908,0.499607184,0.112104908,7,1
1991,White-Donjek,0.019041,0.369246908,0.499607184,0.112104908,8,1
1992,Carmacks,0.043544236,0.217496417,0.707222397,0.03173695,1,1
1992,Lower Mainstem,0.043544236,0.217496417,0.707222397,0.03173695,2,1
1992,Middle Mainstem,0.043544236,0.217496417,0.707222397,0.03173695,3,1
1992,Pelly,0.043544236,0.217496417,0.707222397,0.03173695,4,1
1992,Stewart,0.043544236,0.217496417,0.707222397,0.03173695,5,1
1992,Teslin River,0.043544236,0.217496417,0.707222397,0.03173695,6,1
1992,Upper Lakes and Mainstem,0.043544236,0.217496417,0.707222397,0.03173695,7,1
1992,White-Donjek,0.043544236,0.217496417,0.707222397,0.03173695,8,1
1993,Carmacks,0.103196482,0.260960456,0.514695617,0.121147445,1,1
1993,Lower Mainstem,0.103196482,0.260960456,0.514695617,0.121147445,2,1
1993,Middle Mainstem,0.103196482,0.260960456,0.514695617,0.121147445,3,1
1993,Pelly,0.103196482,0.260960456,0.514695617,0.121147445,4,1
1993,Stewart,0.103196482,0.260960456,0.514695617,0.121147445,5,1
1993,Teslin River,0.103196482,0.260960456,0.514695617,0.121147445,6,1
1993,Upper Lakes and Mainstem,0.103196482,0.260960456,0.514695617,0.121147445,7,1
1993,White-Donjek,0.103196482,0.260960456,0.514695617,0.121147445,8,1
1994,Carmacks,0.039572633,0.455880314,0.436077549,0.068469504,1,1
1994,Lower Mainstem,0.039572633,0.455880314,0.436077549,0.068469504,2,1
1994,Middle Mainstem,0.039572633,0.455880314,0.436077549,0.068469504,3,1
1994,Pelly,0.039572633,0.455880314,0.436077549,0.068469504,4,1
1994,Stewart,0.039572633,0.455880314,0.436077549,0.068469504,5,1
1994,Teslin River,0.039572633,0.455880314,0.436077549,0.068469504,6,1
1994,Upper Lakes and Mainstem,0.039572633,0.455880314,0.436077549,0.068469504,7,1
1994,White-Donjek,0.039572633,0.455880314,0.436077549,0.068469504,8,1
1995,Carmacks,0.041893268,0.146487056,0.758876879,0.052742759,1,1
1995,Lower Mainstem,0.041893268,0.146487056,0.758876879,0.052742759,2,1
1995,Middle Mainstem,0.041893268,0.146487056,0.758876879,0.052742759,3,1
1995,Pelly,0.041893268,0.146487056,0.758876879,0.052742759,4,1
1995,Stewart,0.041893268,0.146487056,0.758876879,0.052742759,5,1
1995,Teslin River,0.041893268,0.146487056,0.758876879,0.052742759,6,1
1995,Upper Lakes and Mainstem,0.041893268,0.146487056,0.758876879,0.052742759,7,1
1995,White-Donjek,0.041893268,0.146487056,0.758876879,0.052742759,8,1
1996,Carmacks,0.01436941,0.45112555,0.392543396,0.141961648,1,1
1996,Lower Mainstem,0.01436941,0.45112555,0.392543396,0.141961648,2,1
1996,Middle Mainstem,0.01436941,0.45112555,0.392543396,0.141961648,3,1
1996,Pelly,0.01436941,0.45112555,0.392543396,0.141961648,4,1
1996,Stewart,0.01436941,0.45112555,0.392543396,0.141961648,5,1
1996,Teslin River,0.01436941,0.45112555,0.392543396,0.141961648,6,1
1996,Upper Lakes and Mainstem,0.01436941,0.45112555,0.392543396,0.141961648,7,1
1996,White-Donjek,0.01436941,0.45112555,0.392543396,0.141961648,8,1
1997,Carmacks,0.032859034,0.148304032,0.751946503,0.066890431,1,1
1997,Lower Mainstem,0.032859034,0.148304032,0.751946503,0.066890431,2,1
1997,Middle Mainstem,0.032859034,0.148304032,0.751946503,0.066890431,3,1
1997,Pelly,0.032859034,0.148304032,0.751946503,0.066890431,4,1
1997,Stewart,0.032859034,0.148304032,0.751946503,0.066890431,5,1
1997,Teslin River,0.032859034,0.148304032,0.751946503,0.066890431,6,1
1997,Upper Lakes and Mainstem,0.032859034,0.148304032,0.751946503,0.066890431,7,1
1997,White-Donjek,0.032859034,0.148304032,0.751946503,0.066890431,8,1
1998,Carmacks,0.008654592,0.407766686,0.469024127,0.114554594,1,0
1998,Lower Mainstem,0.008654592,0.407766686,0.469024127,0.114554594,2,0
1998,Middle Mainstem,0.008654592,0.407766686,0.469024127,0.114554594,3,0
1998,Pelly,0.008654592,0.407766686,0.469024127,0.114554594,4,0
1998,Stewart,0.008654592,0.407766686,0.469024127,0.114554594,5,0
1998,Teslin River,0.008654592,0.407766686,0.469024127,0.114554594,6,0
1998,Upper Lakes and Mainstem,0.008654592,0.407766686,0.469024127,0.114554594,7,0
1998,White-Donjek,0.008654592,0.407766686,0.469024127,0.114554594,8,0
1999,Carmacks,0.016331026,0.180463922,0.786622828,0.016582224,1,1
1999,Lower Mainstem,0.016331026,0.180463922,0.786622828,0.016582224,2,1
1999,Middle Mainstem,0.016331026,0.180463922,0.786622828,0.016582224,3,1
1999,Pelly,0.016331026,0.180463922,0.786622828,0.016582224,4,1
1999,Stewart,0.016331026,0.180463922,0.786622828,0.016582224,5,1
1999,Teslin River,0.016331026,0.180463922,0.786622828,0.016582224,6,1
1999,Upper Lakes and Mainstem,0.016331026,0.180463922,0.786622828,0.016582224,7,1
1999,White-Donjek,0.016331026,0.180463922,0.786622828,0.016582224,8,1
2000,Carmacks,0.005498957,0.302575733,0.580659141,0.111266169,1,1
2000,Lower Mainstem,0.005498957,0.302575733,0.580659141,0.111266169,2,1
2000,Middle Mainstem,0.005498957,0.302575733,0.580659141,0.111266169,3,1
2000,Pelly,0.005498957,0.302575733,0.580659141,0.111266169,4,1
