year,region,Spawn,reg_code,truecount
1982,Carmacks,1.654444,1,1
1982,Lower Mainstem,7.40146,2,1
1982,Middle Mainstem,1.08845,3,1
1982,Pelly,5.137484,4,1
1982,Stewart,9.012366,5,1
1982,Teslin River,12.016488,6,1
1982,Upper Lakes and Mainstem,0.783684,7,1
1982,White-Donjek,6.443624,8,1
1983,Carmacks,7.783125,1,1
1983,Lower Mainstem,3.513525,2,1
1983,Middle Mainstem,3.558,3,1
1983,Pelly,3.424575,4,1
1983,Stewart,3.869325,5,1
1983,Teslin River,19.3911,6,1
1983,Upper Lakes and Mainstem,1.378725,7,1
1983,White-Donjek,1.556625,8,1
1984,Carmacks,8.150815,1,0
1984,Lower Mainstem,3.6253625,2,0
1984,Middle Mainstem,3.250325,3,0
1984,Pelly,6.90069,4,0
1984,Stewart,4.5254525,5,0
1984,Teslin River,20.452045,6,0
1984,Upper Lakes and Mainstem,1.3251325,7,0
1984,White-Donjek,1.7751775,8,0
1985,Carmacks,6.105685,1,1
1985,Lower Mainstem,2.628275,2,1
1985,Middle Mainstem,2.02175,3,1
1985,Pelly,8.127435,4,1
1985,Stewart,3.80089,5,1
1985,Teslin River,15.405735,6,1
1985,Upper Lakes and Mainstem,0.88957,7,1
1985,White-Donjek,1.45566,8,1
1986,Carmacks,5.88235,1,1
1986,Lower Mainstem,3.1483,2,1
1986,Middle Mainstem,0.455675,3,1
1986,Pelly,8.574975,4,1
1986,Stewart,5.38525,5,1
1986,Teslin River,13.877375,6,1
1986,Upper Lakes and Mainstem,0.91135,7,1
1986,White-Donjek,3.189725,8,1
1987,Carmacks,4.006779,1,1
1987,Lower Mainstem,1.610973,2,1
1987,Middle Mainstem,2.06535,3,1
1987,Pelly,13.135626,4,1
1987,Stewart,4.378542,5,1
1987,Teslin River,11.400732,6,1
1987,Upper Lakes and Mainstem,1.073982,7,1
1987,White-Donjek,3.635016,8,1
1988,Carmacks,4.605084,1,0
1988,Lower Mainstem,3.056823,2,0
1988,Middle Mainstem,2.580435,3,0
1988,Pelly,9.805653,4,0
1988,Stewart,4.088997,5,0
