year,sample_type,julian_date,sample_num,stock,region,prob
1982,unkn,194,1,Nisutlin,31,0.97
1982,unkn,194,1,Morley,31,0.01
1982,unkn,194,1,Teslin,31,0.01
1982,unkn,194,1,Teslin_Lake,31,0.01
1982,unkn,194,1,Yukon_main,33,0
1982,unkn,195,2,Nisutlin,31,0.88
1982,unkn,195,2,Morley,31,0.03
1982,unkn,195,2,100_Mile_R,31,0.01
1982,unkn,195,2,Teslin,31,0.01
1982,unkn,195,2,Nisling,38,0.03
1982,unkn,195,3,Morley,31,0.34
1982,unkn,195,3,Nisutlin,31,0.28
1982,unkn,195,3,McQuesten,35,0.08
1982,unkn,195,3,Klondike,36,0.23
1982,unkn,195,3,Chandindu,36,0.03
1982,unkn,196,4,Pelly,34,0.03
1982,unkn,196,4,L_andB_Kalzas,34,0
1982,unkn,196,4,Ross_YT,34,0
1982,unkn,196,4,Nisling,38,0.96
1982,unkn,196,4,Kluane,38,0
1982,unkn,197,5,Pelly,34,0.23
1982,unkn,197,5,L_andB_Kalzas,34,0.11
1982,unkn,197,5,Stewart,35,0.14
1982,unkn,197,5,Mayo,35,0.13
1982,unkn,197,5,Nisling,38,0.1
1982,unkn,197,6,Big_Salmon,32,0.12
1982,unkn,197,6,Pelly,34,0
1982,unkn,197,6,Chandindu,36,0.42
1982,unkn,197,6,Klondike,36,0.37
1982,unkn,197,6,Nisling,38,0.08
1982,unkn,197,7,Yukon_main,33,0.01
1982,unkn,197,7,Ross_YT,34,0.05
1982,unkn,197,7,Pelly,34,0.04
1982,unkn,197,7,L_andB_Kalzas,34,0.01
1982,unkn,197,7,Nisling,38,0.86
1982,unkn,197,8,Teslin,31,0.03
1982,unkn,197,8,Big_Salmon,32,0.19
1982,unkn,197,8,Yukon_main,33,0.1
1982,unkn,197,8,McQuesten,35,0.44
1982,unkn,197,8,Stewart,35,0.14
1982,unkn,200,9,Nisutlin,31,0.34
1982,unkn,200,9,Pelly,34,0.05
1982,unkn,200,9,Blind_Cr,34,0.02
1982,unkn,200,9,Stewart,35,0.03
1982,unkn,200,9,Nisling,38,0.45
1982,unkn,200,10,Ross_YT,34,0.18
1982,unkn,200,10,McQuesten,35,0.26
1982,unkn,200,10,Stewart,35,0.14
1982,unkn,200,10,Mayo,35,0.08
1982,unkn,200,10,Klondike,36,0.11
1982,unkn,200,11,Nisling,38,1
1982,unkn,200,12,McQuesten,35,0.03
1982,unkn,200,12,Klondike,36,0.88
1982,unkn,200,12,Chandindu,36,0.08
1982,unkn,200,13,Big_Salmon,32,0.11
1982,unkn,200,13,Kalzas,34,0.17
1982,unkn,200,13,Ross_YT,34,0.13
1982,unkn,200,13,Pelly,34,0.07
1982,unkn,200,13,Stewart,35,0.32
1982,unkn,197,15,Nisutlin,31,0.98
1982,unkn,197,15,Morley,31,0.01
1982,unkn,197,15,100_Mile_R,31,0
1982,unkn,197,15,Teslin_Lake,31,0
1982,unkn,198,16,McQuesten,35,0.73
1982,unkn,198,16,Mayo,35,0
1982,unkn,198,16,Stewart,35,0
1982,unkn,198,16,Klondike,36,0.21
1982,unkn,198,16,Chandindu,36,0.06
1982,unkn,198,17,Nisutlin,31,0.3
1982,unkn,198,17,Morley,31,0.04
1982,unkn,198,17,Big_Salmon,32,0.09
1982,unkn,198,17,Stewart,35,0.32
1982,unkn,198,17,Mayo,35,0.11
1982,unkn,200,18,Teslin,31,0.27
1982,unkn,200,18,Nisutlin,31,0.23
1982,unkn,200,18,L_Salmon,32,0.09
1982,unkn,200,18,Nordenskiold,33,0.13
1982,unkn,200,18,Yukon_main,33,0.05
1982,unkn,200,19,Teslin,31,0.23
1982,unkn,200,19,Yukon_main,33,0.09
1982,unkn,200,19,Pelly,34,0.42
1982,unkn,200,19,Stewart,35,0.06
1982,unkn,200,19,Nisling,38,0.13
1982,unkn,200,20,Whitehorse,30,0.32
1982,unkn,200,20,Teslin,31,0.3
1982,unkn,200,20,Nisutlin,31,0.22
1982,unkn,200,20,Morley,31,0.01
1982,unkn,200,20,Yukon_main,33,0.13
1982,unkn,200,21,Teslin,31,0
1982,unkn,200,21,Pelly,34,0
1982,unkn,200,21,McQuesten,35,0.99
1982,unkn,200,21,Klondike,36,0.01
1982,unkn,200,21,Chandindu,36,0
1982,unkn,200,22,100_Mile_R,31,0
1982,unkn,200,22,Pelly,34,0
1982,unkn,200,22,McQuesten,35,0.16
1982,unkn,200,22,Klondike,36,0.83
1982,unkn,200,22,Chandindu,36,0
1982,unkn,200,23,Teslin,31,0.19
1982,unkn,200,23,Morley,31,0.12
1982,unkn,200,23,100_Mile_R,31,0.1
1982,unkn,200,23,Ross_YT,34,0.22
1982,unkn,200,23,Stewart,35,0.15
