"data_label" "year" "gear" "julian" "samp_num" "substock" "prob" "samp_early_count" "samp_early_prop" "samp_late_count" "samp_late_prop"
"1" "YukonRetro" 1982 "Fish Wheel" 194 1 "Teslin River" 1 NA NA NA NA
"2" "YukonRetro" 1982 "Fish Wheel" 195 2 "Teslin River" 0.94 NA NA NA NA
"3" "YukonRetro" 1982 "Fish Wheel" 195 3 "Teslin River" 0.65 NA NA NA NA
"4" "YukonRetro" 1982 "Fish Wheel" 196 4 "White-Donjek" 0.96 NA NA NA NA
"5" "YukonRetro" 1982 "Fish Wheel" 197 6 "Lower Mainstem" 0.79 NA NA NA NA
"6" "YukonRetro" 1982 "Fish Wheel" 197 7 "White-Donjek" 0.86 NA NA NA NA
"7" "YukonRetro" 1982 "Fish Wheel" 197 8 "Stewart" 0.58 NA NA NA NA
"8" "YukonRetro" 1982 "Fish Wheel" 200 11 "White-Donjek" 1 NA NA NA NA
"9" "YukonRetro" 1982 "Fish Wheel" 200 12 "Lower Mainstem" 0.97 NA NA NA NA
"10" "YukonRetro" 1982 "Fish Wheel" 197 15 "Teslin River" 1 NA NA NA NA
"11" "YukonRetro" 1982 "Fish Wheel" 198 16 "Stewart" 0.73 NA NA NA NA
"12" "YukonRetro" 1982 "Fish Wheel" 200 18 "Teslin River" 0.56 NA NA NA NA
"13" "YukonRetro" 1982 "Fish Wheel" 200 20 "Teslin River" 0.54 NA NA NA NA
"14" "YukonRetro" 1982 "Fish Wheel" 200 21 "Stewart" 0.99 NA NA NA NA
"15" "YukonRetro" 1982 "Fish Wheel" 200 22 "Lower Mainstem" 0.84 NA NA NA NA
"16" "YukonRetro" 1982 "Fish Wheel" 200 23 "Teslin River" 0.52 NA NA NA NA
"17" "YukonRetro" 1982 "Fish Wheel" 200 24 "Teslin River" 1 NA NA NA NA
"18" "YukonRetro" 1982 "Fish Wheel" 200 25 "Pelly" 1 NA NA NA NA
"19" "YukonRetro" 1982 "Fish Wheel" 200 26 "Pelly" 0.84 NA NA NA NA
"20" "YukonRetro" 1982 "Fish Wheel" 200 27 "Stewart" 0.92 NA NA NA NA
"21" "YukonRetro" 1982 "Fish Wheel" 201 28 "Pelly" 0.95 NA NA NA NA
"22" "YukonRetro" 1982 "Fish Wheel" 201 29 "White-Donjek" 1 NA NA NA NA
"23" "YukonRetro" 1982 "Fish Wheel" 201 30 "Stewart" 0.84 NA NA NA NA
"24" "YukonRetro" 1982 "Fish Wheel" 201 32 "Lower Mainstem" 1 NA NA NA NA
"25" "YukonRetro" 1982 "Fish Wheel" 201 33 "White-Donjek" 0.78 NA NA NA NA
"26" "YukonRetro" 1982 "Fish Wheel" 201 34 "Teslin River" 1 NA NA NA NA
