year,region_num,region_code,Region Name,value_level,value
1982,1,32,Carmacks,estimate,3.8
1982,1,36,Lower Mainstem,estimate,17
1982,1,33,Middle Mainstem,estimate,2.5
1982,1,34,Pelly,estimate,11.8
1982,1,35,Stewart,estimate,20.7
1982,1,31,Teslin River,estimate,27.6
1982,1,30,Upper Lakes and Mainstem,estimate,1.8
1982,1,38,White-Donjek,estimate,14.8
1983,1,32,Carmacks,estimate,17.5
1983,1,36,Lower Mainstem,estimate,7.9
1983,1,33,Middle Mainstem,estimate,8
1983,1,34,Pelly,estimate,7.7
1983,1,35,Stewart,estimate,8.7
1983,1,31,Teslin River,estimate,43.7
1983,1,30,Upper Lakes and Mainstem,estimate,3.1
1983,1,38,White-Donjek,estimate,3.5
1985,1,32,Carmacks,estimate,15.1
1985,1,36,Lower Mainstem,estimate,6.6
1985,1,33,Middle Mainstem,estimate,5
1985,1,34,Pelly,estimate,20.2
1985,1,35,Stewart,estimate,9.4
1985,1,31,Teslin River,estimate,38.1
1985,1,30,Upper Lakes and Mainstem,estimate,2.2
1985,1,38,White-Donjek,estimate,3.6
1986,1,32,Carmacks,estimate,14.2
1986,1,36,Lower Mainstem,estimate,7.6
1986,1,33,Middle Mainstem,estimate,1.1
1986,1,34,Pelly,estimate,20.7
1986,1,35,Stewart,estimate,13
1986,1,31,Teslin River,estimate,33.5
1986,1,30,Upper Lakes and Mainstem,estimate,2.2
1986,1,38,White-Donjek,estimate,7.8
1987,1,32,Carmacks,estimate,9.7
1987,1,36,Lower Mainstem,estimate,3.9
1987,1,33,Middle Mainstem,estimate,5
1987,1,34,Pelly,estimate,31.9
1987,1,35,Stewart,estimate,10.6
1987,1,31,Teslin River,estimate,27.6
1987,1,30,Upper Lakes and Mainstem,estimate,2.6
1987,1,38,White-Donjek,estimate,8.8
1991,1,32,Carmacks,estimate,13.5
1991,1,36,Lower Mainstem,estimate,11.5
1991,1,33,Middle Mainstem,estimate,8
1991,1,34,Pelly,estimate,17.5
1991,1,35,Stewart,estimate,10
1991,1,31,Teslin River,estimate,29
1991,1,30,Upper Lakes and Mainstem,estimate,7.8
1991,1,38,White-Donjek,estimate,2.6
1992,1,32,Carmacks,estimate,8.2
