data_label,year,gear,julian,sample_num,region,prob,
YukonRetro,1982,Fish Wheel,194,1,31,1,
YukonRetro,1982,Fish Wheel,194,1,33,0,
YukonRetro,1982,Fish Wheel,,1,35,0,
YukonRetro,1982,Fish Wheel,,1,32,0,
YukonRetro,1982,Fish Wheel,,1,34,0,
YukonRetro,1982,Fish Wheel,,1,,,
YukonRetro,1982,Fish Wheel,,1,,,
YukonRetro,1982,Fish Wheel,195,2,31,0.94,
YukonRetro,1982,Fish Wheel,195,2,38,0.03,
YukonRetro,1982,Fish Wheel,,2,34,0.01,
YukonRetro,1982,Fish Wheel,,2,32,0.01,
YukonRetro,1982,Fish Wheel,,2,35,0.01,
YukonRetro,1982,Fish Wheel,,2,33,0,
YukonRetro,1982,Fish Wheel,,2,30,0,
YukonRetro,1982,Fish Wheel,195,3,31,0.65,
YukonRetro,1982,Fish Wheel,195,3,36,0.26,
YukonRetro,1982,Fish Wheel,,3,35,0.08,
YukonRetro,1982,Fish Wheel,,3,34,0,
YukonRetro,1982,Fish Wheel,,3,38,0,
YukonRetro,1982,Fish Wheel,,3,33,0,
YukonRetro,1982,Fish Wheel,,3,32,0,
YukonRetro,1982,Fish Wheel,196,4,38,0.96,
YukonRetro,1982,Fish Wheel,196,4,34,0.04,
YukonRetro,1982,Fish Wheel,,4,35,0,
YukonRetro,1982,Fish Wheel,,4,31,0,
YukonRetro,1982,Fish Wheel,,4,32,0,
YukonRetro,1982,Fish Wheel,,4,,,
YukonRetro,1982,Fish Wheel,,4,,,
YukonRetro,1982,Fish Wheel,197,5,34,0.47,
YukonRetro,1982,Fish Wheel,197,5,35,0.35,
YukonRetro,1982,Fish Wheel,,5,38,0.1,
YukonRetro,1982,Fish Wheel,,5,33,0.06,
YukonRetro,1982,Fish Wheel,,5,31,0.02,
YukonRetro,1982,Fish Wheel,,5,32,0.02,
YukonRetro,1982,Fish Wheel,,5,36,0,
YukonRetro,1982,Fish Wheel,197,6,36,0.79,
YukonRetro,1982,Fish Wheel,197,6,32,0.12,
YukonRetro,1982,Fish Wheel,,6,38,0.08,
YukonRetro,1982,Fish Wheel,,6,34,0.01,
YukonRetro,1982,Fish Wheel,,6,35,0.01,
YukonRetro,1982,Fish Wheel,,6,31,0,
YukonRetro,1982,Fish Wheel,,6,,,
YukonRetro,1982,Fish Wheel,197,7,38,0.86,
YukonRetro,1982,Fish Wheel,197,7,34,0.11,
YukonRetro,1982,Fish Wheel,,7,33,0.01,
YukonRetro,1982,Fish Wheel,,7,35,0.01,
YukonRetro,1982,Fish Wheel,,7,32,0.01,
YukonRetro,1982,Fish Wheel,,7,31,0,
YukonRetro,1982,Fish Wheel,,7,30,0,
YukonRetro,1982,Fish Wheel,197,8,35,0.58,
YukonRetro,1982,Fish Wheel,197,8,32,0.23,
YukonRetro,1982,Fish Wheel,,8,33,0.1,
YukonRetro,1982,Fish Wheel,,8,31,0.04,
YukonRetro,1982,Fish Wheel,,8,34,0.03,
YukonRetro,1982,Fish Wheel,,8,36,0.01,
YukonRetro,1982,Fish Wheel,,8,38,0,
YukonRetro,1982,Fish Wheel,200,9,38,0.45,
YukonRetro,1982,Fish Wheel,200,9,31,0.36,
YukonRetro,1982,Fish Wheel,,9,34,0.1,
YukonRetro,1982,Fish Wheel,,9,35,0.05,
YukonRetro,1982,Fish Wheel,,9,32,0.03,
YukonRetro,1982,Fish Wheel,,9,33,0.01,
YukonRetro,1982,Fish Wheel,,9,36,0,
YukonRetro,1982,Fish Wheel,200,10,35,0.48,
YukonRetro,1982,Fish Wheel,200,10,34,0.24,
YukonRetro,1982,Fish Wheel,,10,36,0.17,
YukonRetro,1982,Fish Wheel,,10,38,0.05,
YukonRetro,1982,Fish Wheel,,10,33,0.03,
YukonRetro,1982,Fish Wheel,,10,30,0.02,
YukonRetro,1982,Fish Wheel,,10,31,0.01,
YukonRetro,1982,Fish Wheel,200,11,38,1,
YukonRetro,1982,Fish Wheel,200,11,,,
YukonRetro,1982,Fish Wheel,,11,,,
YukonRetro,1982,Fish Wheel,,11,,,
YukonRetro,1982,Fish Wheel,,11,,,
YukonRetro,1982,Fish Wheel,,11,,,
YukonRetro,1982,Fish Wheel,,11,,,
